district,quarter,zone_type,zone_code,zone_name,business_type,monthly_sales,monthly_count,mon_sales,tue_sales,wed_sales,thu_sales,fri_sales,sat_sales,sun_sales,male_sales,female_sales,age_10s_sales,age_20s_sales,age_30s_sales,age_40s_sales,age_50s_sales,age_60plus_sales
마포구,20241,골목상권,3110548,마포구청역 4번,화장품,15084437,807,0,0,0,0,5387299,9697138,0,5387299,9697138,0,0,0,3232379,11852058,0
마포구,20241,골목상권,3110548,마포구청역 4번,자전거 및 기타운송장비,37697926,552,2816169,0,5483335,1013225,1937048,13559333,12888816,27103766,10594160,0,0,3084376,26179944,4544611,3888995
마포구,20241,골목상권,3110548,마포구청역 4번,전자상거래업,207460704,11670,48623603,0,20746070,23987644,31119106,61589896,21394385,53161806,154298898,0,6483147,15559553,118641590,33712364,33064050
마포구,20241,골목상권,3110550,합정역 8번,한식음식점,4456579583,82254,510558347,556641307,615918029,679139072,854096911,786684323,453541594,2233875978,1544991857,4311805,673565179,1297930613,678588679,603107314,521364239
마포구,20241,골목상권,3110550,합정역 8번,중식음식점,985981055,12506,72042657,105288180,139179574,167822500,233221791,238733214,29693139,507575298,286273581,201466,180503240,355489226,151480824,83185929,22988195
마포구,20241,골목상권,3110550,합정역 8번,일식음식점,436035255,11429,54855102,44015528,63468109,68844990,66758834,95304228,42788464,232709777,158075722,1526841,101955129,187490071,51929184,36324046,11560223
마포구,20241,골목상권,3110550,합정역 8번,양식음식점,498698606,10413,39854905,52649610,56385002,63658386,71619716,113932370,100598617,189850772,286281985,2914208,175443668,187842516,56481091,40563129,12888144
마포구,20241,골목상권,3110550,합정역 8번,제과점,249321969,25247,0,35816451,41326289,42103625,45702420,43554725,40818459,93026330,135704047,173731,33209928,88818920,55361759,34453887,16712154
마포구,20241,골목상권,3110550,합정역 8번,패스트푸드점,83082373,6497,9461294,14555522,14724461,12388722,10126841,9363360,12462173,33535241,31215416,856111,14534712,14093598,13306858,16806386,5152990
마포구,20241,골목상권,3110550,합정역 8번,치킨전문점,193750333,5666,17136430,27031649,23123505,27356639,35456469,42708256,20937385,106469403,59896537,76254,26975492,55639209,33274024,33343990,17056968
마포구,20241,골목상권,3110550,합정역 8번,분식전문점,166176221,8150,15115468,20809058,18684801,19017167,15173270,8012933,69363524,50722078,33850845,130057,12926182,30693360,26878366,7933453,6011506
마포구,20241,골목상권,3110550,합정역 8번,호프-간이주점,755068146,13656,87861304,83121761,77614068,102271979,150424292,175288515,78486227,370310543,301562963,1175131,139761850,280944703,123161089,96138088,30692641
마포구,20241,골목상권,3110550,합정역 8번,커피-음료,338589496,36176,34203748,36078649,45323679,47542379,54827621,68217275,52396145,111202408,214013357,1147219,109399935,128265433,48724680,23481612,14196885
마포구,20241,골목상권,3110550,합정역 8번,일반교습학원,701792982,2627,160165549,127592099,120793508,129773401,85224975,67289367,10954083,223009168,478783814,0,0,21125733,634309708,46357541,0
마포구,20241,골목상권,3110550,합정역 8번,예술학원,98989915,338,39841184,9590862,13360337,14870637,4120119,13875313,3331463,19326393,79663522,0,15702535,14472964,59964777,6493749,2355890
마포구,20241,골목상권,3110550,합정역 8번,스포츠클럽,4281833,7,0,4281833,0,0,0,0,0,4281833,0,0,0,0,4281833,0,0
마포구,20241,골목상권,3110550,합정역 8번,자동차수리,90005539,640,23129087,21596252,18323826,14407036,4726533,7822805,0,58368678,26637828,0,2200448,16348453,8066229,28593397,29797980
마포구,20241,골목상권,3110550,합정역 8번,미용실,152956619,2195,9435557,11011581,24342622,17160296,21205914,40204033,29596616,58457614,85606141,0,27500169,57270256,31792192,20776629,6724508
마포구,20241,골목상권,3110550,합정역 8번,세탁소,5299668,174,221479,284758,0,980834,1186493,2626104,0,1265592,4034076,0,1186493,2689383,727716,696076,0
마포구,20241,골목상권,3110550,합정역 8번,여관,90283372,1193,7104109,10965458,8591986,10077320,12677203,24670726,16196570,68437201,19775781,0,22748471,24719635,16638811,14432628,9673438
마포구,20241,골목상권,3110550,합정역 8번,편의점,426696712,65508,61297687,55486599,60571708,65171274,61255373,70130295,52783776,242882058,156380427,2431102,94057911,140286586,72241411,56212402,34033072
마포구,20241,골목상권,3110550,합정역 8번,의료기기,10226000000,379,0,7100694377,0,0,3125305623,0,0,10226000000,0,0,0,0,0,9850896672,375103328
마포구,20241,골목상권,3110550,합정역 8번,화장품,989619,90,0,0,989619,0,0,0,0,0,989619,0,0,0,0,0,989619
마포구,20241,골목상권,3110550,합정역 8번,화초,13242464,158,175980,175980,10206816,659924,1231856,395954,395954,12362566,879898,219974,307965,1011882,527939,11174704,0
마포구,20241,골목상권,3110562,연트럴파크(연남동주민센터),한식음식점,101522123,4006,12325206,8852319,1755294,15727637,17614173,24700455,20547039,43760829,44823390,70458,23356070,34257764,15257959,10385338,5256627
마포구,20241,골목상권,3110562,연트럴파크(연남동주민센터),중식음식점,19412818,663,0,959042,2749589,2811851,2006456,5837101,5048779,7461949,6379890,47701,1385841,5799944,3200991,2388065,1019295
마포구,20241,골목상권,3110562,연트럴파크(연남동주민센터),일식음식점,405616910,7330,42806911,32082497,50979705,47324990,69541733,92618113,70262961,179521711,226095199,3813232,179393506,151279816,35180345,29917576,6032435
